Sample,Synthesis,Treatment,Initial sample temperature (K),Yield stress (Mpa),Ultimate  stress (Mpa),KIC (Mpa*m^0.5),Hardness,B (Gpa) ,G (Gpa),E (Gpa) ,Mu,Melting point (K),Sample thickness (mm),Sample diameter (mm),Grain size (µm),Initial density (g/cm3),Longitudinal sound speed (m/s),Shear sound speed (ms),Bulk sound speed (m/s),Flyer,Flyer (processed),Flyer thickness (mm),Flyer diameter (mm),impact velocity (m/s),Peak Stress (Gpa),Strain rate (10^5 s^-1),Pulse duration (µs),Type of experiment,Gas gun diameter (mm),Spall (Gpa),Spall direction,Refereces
Ag,"Annealed silver foils of 99.9 % purity having thickness of 0.127, 0.280, 0.5, 1.0, and 2 mm were obtained from Alfa Aesar Company.Square, 12 mm12 mm, samples of 2 and 1 mm thick were cut from the as-received foils and lapped to 0.3 mrad parallelism.",,296,25,,,,101,28,75,0.37,1234,2.004,,12,10.472±0.005,3730±20,1740±20,,Cu,0,1,,236,,,,59mm bore 4m  length gas gun,59,1.22,,"Zaretsky, E. B., & Kanel, G. I. (2011). Plastic flow in shock-loaded silver at strain rates from 104 s− 1 to 107 s− 1 and temperatures from 296 K to 1233 K. Journal of Applied Physics, 110(7)."
Ag,"Annealed silver foils of 99.9 % purity having thickness of 0.127, 0.280, 0.5, 1.0, and 2 mm were obtained from Alfa Aesar Company.Square, 12 mm12 mm, samples of 2 and 1 mm thick were cut from the as-received foils and lapped to 0.3 mrad parallelism.",,773,42,,,,101,28,75,0.37,1234,1.987,,12,10.472±0.005,3730±20,1740±20,,Cu,0,1,,245,,,,59mm bore 4m  length gas gun,59,1.3,,"Zaretsky, E. B., & Kanel, G. I. (2011). Plastic flow in shock-loaded silver at strain rates from 104 s− 1 to 107 s− 1 and temperatures from 296 K to 1233 K. Journal of Applied Physics, 110(7)."
Ag,"Annealed silver foils of 99.9 % purity having thickness of 0.127, 0.280, 0.5, 1.0, and 2 mm were obtained from Alfa Aesar Company.Square, 12 mm12 mm, samples of 2 and 1 mm thick were cut from the as-received foils and lapped to 0.3 mrad parallelism.",,973,63,,,,101,28,75,0.37,1234,1.98,,12,10.472±0.005,3730±20,1740±20,,Cu,0,1,,233,,,,59mm bore 4m  length gas gun,59,1.32,,"Zaretsky, E. B., & Kanel, G. I. (2011). Plastic flow in shock-loaded silver at strain rates from 104 s− 1 to 107 s− 1 and temperatures from 296 K to 1233 K. Journal of Applied Physics, 110(7)."
Ag,"Annealed silver foils of 99.9 % purity having thickness of 0.127, 0.280, 0.5, 1.0, and 2 mm were obtained from Alfa Aesar Company.Square, 12 mm12 mm, samples of 2 and 1 mm thick were cut from the as-received foils and lapped to 0.3 mrad parallelism.",,1173,98,,,,101,28,75,0.37,1234,1.954,,12,10.472±0.005,3730±20,1740±20,,Cu,0,1,,256,,,,59mm bore 4m  length gas gun,59,1.15,,"Zaretsky, E. B., & Kanel, G. I. (2011). Plastic flow in shock-loaded silver at strain rates from 104 s− 1 to 107 s− 1 and temperatures from 296 K to 1233 K. Journal of Applied Physics, 110(7)."
Ag,"Annealed silver foils of 99.9 % purity having thickness of 0.127, 0.280, 0.5, 1.0, and 2 mm were obtained from Alfa Aesar Company.Square, 12 mm12 mm, samples of 2 and 1 mm thick were cut from the as-received foils and lapped to 0.3 mrad parallelism.",,1233,130,,,,101,28,75,0.37,1234,1.98,,12,10.472±0.005,3730±20,1740±20,,Cu,0,1,,233,,,,59mm bore 4m  length gas gun,59,0.6,,"Zaretsky, E. B., & Kanel, G. I. (2011). Plastic flow in shock-loaded silver at strain rates from 104 s− 1 to 107 s− 1 and temperatures from 296 K to 1233 K. Journal of Applied Physics, 110(7)."
Al 6061-02,"These studies involved a variety of aluminum materials, including commercially pure aluminum 99.6%, ultrapure polycrystalline aluminum 99.9998% Al, single-crystal Al 99.999% pure for 100 and 99.98% for 111, and three heat treatments of 6061 aluminum alloy.",,,276,310,29,13.5±0.5,75,27,72,0.33,890,5.885,30,5,2.703,5770,,,Quartz,2,3.201,30,449,4.14,,,64mm diameter light gas gun,64,0.82,,"Chen, X., Asay, J. R., Dwivedi, S. K., & Field, D. P. (2006). Spall behavior of aluminum with varying microstructures. Journal of applied physics, 99(2)."
Al 6061-20,"These studies involved a variety of aluminum materials, including commercially pure aluminum 99.6%, ultrapure polycrystalline aluminum 99.9998% Al, single-crystal Al 99.999% pure for 100 and 99.98% for 111, and three heat treatments of 6061 aluminum alloy.",,,276,310,29,28±0.5,75,27,72,0.33,890,5.806,30,34,2.704,5770,,,Quartz,2,3.2,30,449,4.14,,,64mm diameter light gas gun,64,0.98,,"Chen, X., Asay, J. R., Dwivedi, S. K., & Field, D. P. (2006). Spall behavior of aluminum with varying microstructures. Journal of applied physics, 99(2)."
Al 6061-20,"These studies involved a variety of aluminum materials, including commercially pure aluminum 99.6%, ultrapure polycrystalline aluminum 99.9998% Al, single-crystal Al 99.999% pure for 100 and 99.98% for 111, and three heat treatments of 6061 aluminum alloy.",,,276,310,29,28±0.5,75,27,72,0.33,890,5.867,30,34,2.704,5770,,,Quartz,2,3.197,30,502,4.16,,,64mm diameter light gas gun,64,0.98,,"Chen, X., Asay, J. R., Dwivedi, S. K., & Field, D. P. (2006). Spall behavior of aluminum with varying microstructures. Journal of applied physics, 99(2)."
Al 6061-80,"These studies involved a variety of aluminum materials, including commercially pure aluminum 99.6%, ultrapure polycrystalline aluminum 99.9998% Al, single-crystal Al 99.999% pure for 100 and 99.98% for 111, and three heat treatments of 6061 aluminum alloy.",,,276,310,29,39.5±0.5,75,27,72,0.33,890,5.883,30,47,2.706,5770,,,Quartz,2,3.186,30,449,4.14,,,64mm diameter light gas gun,64,1.28,,"Chen, X., Asay, J. R., Dwivedi, S. K., & Field, D. P. (2006). Spall behavior of aluminum with varying microstructures. Journal of applied physics, 99(2)."
Al 1060,"These studies involved a variety of aluminum materials, including commercially pure aluminum 99.6%, ultrapure polycrystalline aluminum 99.9998% Al, single-crystal Al 99.999% pure for 100 and 99.98% for 111, and three heat treatments of 6061 aluminum alloy.",,,28,69,10,22,74,27,71,0.33,1205,5.893,30,182,2.705,5770,,,Quartz,2,3.192,30,501,4.15,,,64mm diameter light gas gun,64,0.8,,"Chen, X., Asay, J. R., Dwivedi, S. K., & Field, D. P. (2006). Spall behavior of aluminum with varying microstructures. Journal of applied physics, 99(2)."
